PetType,Breed,AgeMonths,Color,Size,WeightKg,Vaccinated,HealthCondition,TimeInShelterDays,PreviousOwner,AdoptionLikelihood
Dog,Poodle,4,White,Small,4.42217477196187,1,0,1,0,1
Cat,Persian,103,Orange,Medium,22.939635849561,0,0,84,0,0
Cat,Siamese,40,Black,Small,3.76221908521322,1,0,54,0,0
Dog,Labrador,17,Orange,Medium,1.79664631287656,0,1,47,0,1
Dog,Golden Retriever,101,Black,Large,12.705150962827,1,1,39,1,0
Cat,Persian,103,White,Small,29.8137670117573,1,0,30,1,0
Dog,Poodle,124,White,Small,6.07163414965102,1,0,7,0,0
Rabbit,Rabbit,52,Gray,Medium,20.5066859622769,0,0,22,1,0
Cat,Persian,52,Black,Medium,6.02848591997746,1,0,50,0,1
Bird,Parakeet,164,Gray,Small,22.0188222737932,1,0,45,1,0
Rabbit,Rabbit,124,Black,Large,15.655256378897,1,0,74,0,0
Bird,Parakeet,166,Gray,Large,20.7191795925919,1,1,72,1,0
Bird,Parakeet,178,White,Medium,6.8833221015128,1,0,10,0,1
Rabbit,Rabbit,63,Orange,Large,22.6232216430946,1,0,14,0,0
Bird,Parakeet,116,Gray,Large,29.8729527290585,0,0,46,0,0
Dog,Golden Retriever,62,Black,Medium,20.3038645181528,0,0,75,0,0
Cat,Persian,7,Black,Large,15.3109199441135,1,0,6,0,1
Dog,Poodle,155,White,Medium,27.7720456699587,0,1,21,0,0
Cat,Persian,92,Black,Small,1.45970342472441,1,0,62,1,0
Bird,Parakeet,14,Brown,Medium,22.1677820592888,1,0,19,0,1
Bird,Parakeet,86,Orange,Small,26.7736489876006,1,0,88,0,0
Rabbit,Rabbit,133,Gray,Small,2.78856292500777,0,0,82,0,0
Rabbit,Rabbit,130,Orange,Large,14.051860942057,0,0,62,1,0
Dog,Labrador,62,White,Large,6.93686416454997,1,0,83,1,1
Rabbit,Rabbit,149,Gray,Large,17.4290268020471,1,0,53,1,0
Bird,Parakeet,79,Gray,Medium,19.8367457995062,1,0,24,0,1
Cat,Persian,149,Brown,Large,9.7760723049339,0,1,56,0,0
Dog,Golden Retriever,138,White,Small,14.3394684206649,0,0,62,0,0
Rabbit,Rabbit,58,Black,Large,9.10084507302023,0,0,34,0,0
Rabbit,Rabbit,120,Brown,Large,11.7123437691983,1,0,22,0,0
Bird,Parakeet,167,Brown,Medium,5.62665874396428,0,0,68,0,0
Rabbit,Rabbit,133,Orange,Medium,26.6812238639833,0,0,57,0,0
Bird,Parakeet,65,Orange,Small,1.29030190621496,0,0,10,0,0
Cat,Siamese,13,Orange,Medium,26.5898664068699,1,0,66,0,1
Bird,Parakeet,82,Brown,Large,17.5786874721424,1,0,8,1,0
Bird,Parakeet,173,Black,Medium,10.6180774811335,1,0,38,0,1
Rabbit,Rabbit,160,Gray,Small,21.9686566383496,0,0,62,1,0
Rabbit,Rabbit,164,Orange,Large,15.7248124040173,1,0,28,0,0
Bird,Parakeet,139,Black,Small,15.4741510851206,1,0,10,0,0
Rabbit,Rabbit,149,White,Medium,4.19412620465003,0,1,45,0,0
Dog,Labrador,52,Orange,Medium,12.2959647524169,0,0,65,1,1
Rabbit,Rabbit,117,Gray,Small,7.99086602984536,1,0,67,0,0
Rabbit,Rabbit,26,White,Large,1.45518126229211,0,0,9,1,0
Bird,Parakeet,34,White,Medium,11.4428892926813,0,0,5,0,0
Cat,Persian,52,Gray,Medium,3.60484175334254,1,0,10,0,1
Dog,Golden Retriever,112,Orange,Large,8.44807109403037,1,1,12,1,0
Rabbit,Rabbit,82,Brown,Medium,3.68298201430974,1,0,82,0,1
Dog,Labrador,157,Gray,Small,3.92730714113557,1,1,58,1,0
Cat,Siamese,166,Gray,Medium,6.77132753804046,1,0,21,0,1
Bird,Parakeet,42,Gray,Medium,29.9956280901056,1,0,21,0,1
Cat,Persian,21,White,Large,1.06334014286021,0,0,65,1,0
Bird,Parakeet,42,Black,Small,19.5215064474918,1,0,3,1,0
Bird,Parakeet,141,Brown,Large,5.09606724277016,0,0,69,0,0
Rabbit,Rabbit,113,Orange,Medium,27.6982159646125,1,1,89,1,0
Rabbit,Rabbit,105,Orange,Medium,3.71535390667525,1,0,64,0,1
Cat,Persian,17,Black,Large,28.6968324266609,1,1,49,1,0
Dog,Labrador,120,Gray,Large,18.7168652370209,1,1,72,0,0
Cat,Siamese,137,Brown,Large,1.03677423054922,1,1,17,0,0
Rabbit,Rabbit,169,Orange,Small,26.9262087395874,1,0,73,0,0
Cat,Persian,129,Orange,Medium,16.1296422396406,1,0,32,0,1
Dog,Labrador,130,Gray,Large,8.61742232458405,1,0,70,0,1
Rabbit,Rabbit,60,Black,Medium,23.2510961479533,1,0,21,0,1
Bird,Parakeet,48,Brown,Small,27.8733010627192,1,0,7,0,0
Bird,Parakeet,29,Black,Small,15.027033871257,1,0,7,1,0
Dog,Labrador,97,Black,Small,10.1510507588502,1,0,27,0,1
Bird,Parakeet,10,Brown,Small,23.8794085941129,0,1,8,0,0
Bird,Parakeet,58,Brown,Medium,20.7717794358652,1,1,73,0,0
Rabbit,Rabbit,21,Orange,Small,26.7738220287579,1,0,28,1,1
Rabbit,Rabbit,28,Orange,Small,21.0829063700746,1,0,79,0,0
Bird,Parakeet,34,Brown,Large,8.06232182808655,1,0,66,0,0
Rabbit,Rabbit,8,White,Small,28.0181182430116,1,0,71,0,1
Rabbit,Rabbit,177,Orange,Large,4.04023666897375,0,0,47,0,0
Cat,Persian,79,White,Small,8.77033975309859,0,0,82,0,0
Dog,Golden Retriever,145,Brown,Small,16.0856436239927,1,0,86,0,0
Dog,Poodle,87,Orange,Large,17.4065187560561,0,0,10,0,0
Rabbit,Rabbit,88,Black,Small,1.44400701218026,1,0,33,0,0
Rabbit,Rabbit,173,Brown,Medium,23.6366090488073,1,0,7,0,1
Cat,Siamese,69,Gray,Medium,11.4866122343363,1,1,3,0,0
Rabbit,Rabbit,160,White,Small,12.786137689062,1,0,14,0,0
Cat,Siamese,172,Brown,Medium,24.4717167886714,0,0,44,1,0
Bird,Parakeet,87,Brown,Large,11.9992183600988,1,0,46,1,0
Dog,Labrador,101,Orange,Small,2.36952141834789,1,0,61,0,1
Cat,Persian,8,Orange,Small,6.11675334364016,1,0,36,0,1
Cat,Persian,77,Orange,Large,28.7211919992573,0,0,13,0,0
Cat,Persian,87,Gray,Large,3.04175550967291,1,0,16,0,0
Bird,Parakeet,43,Orange,Large,11.2930048280725,0,0,80,0,0
Rabbit,Rabbit,129,Brown,Small,15.592195844489,1,0,5,0,0
Dog,Labrador,109,Orange,Large,15.3051439928182,0,0,89,1,0
Rabbit,Rabbit,179,Black,Large,1.11483834735214,0,0,38,1,0
Dog,Labrador,152,Orange,Medium,15.5337192122672,0,0,50,0,1
Cat,Siamese,152,Gray,Medium,12.1294012813449,1,0,38,0,1
Rabbit,Rabbit,17,Black,Small,29.1903007287622,1,1,56,1,0
Rabbit,Rabbit,133,Brown,Medium,5.61561343582107,1,1,63,1,0
Rabbit,Rabbit,148,Brown,Medium,11.2704717060254,1,0,48,1,1
Rabbit,Rabbit,21,White,Large,13.1649630676048,1,1,59,0,0
Rabbit,Rabbit,58,Black,Large,12.3301125759275,1,0,77,0,0
Bird,Parakeet,159,White,Medium,20.309094001904,1,1,44,0,0
Bird,Parakeet,110,Black,Medium,7.2498728688853,0,0,55,0,0
Dog,Labrador,139,Black,Medium,7.41107503160576,1,0,55,0,1
Rabbit,Rabbit,143,Gray,Small,22.1471175065247,1,1,1,0,0
Rabbit,Rabbit,135,White,Small,15.5084250416672,1,0,8,1,0
Bird,Parakeet,28,Gray,Small,13.039514605662,1,0,4,1,0
Bird,Parakeet,51,Black,Medium,5.9068884986403,0,0,85,0,0
Cat,Siamese,5,Brown,Medium,6.43828946445283,0,0,86,1,1
Cat,Persian,5,Black,Small,1.30599746766112,1,0,53,0,1
Cat,Persian,94,Gray,Small,3.65136179698957,0,0,58,1,0
Cat,Siamese,96,White,Medium,17.148322146017,0,1,37,0,0
Bird,Parakeet,8,White,Large,26.8643207702439,0,0,49,0,0
Cat,Persian,64,Gray,Small,9.32777818878617,1,1,67,0,0
Bird,Parakeet,138,White,Medium,10.5046695509877,0,1,19,0,0
Bird,Parakeet,38,Orange,Medium,4.35256270773385,1,0,1,0,1
Cat,Siamese,111,Brown,Large,12.270297422606,1,0,29,0,0
Cat,Siamese,112,Brown,Medium,2.07942943251055,1,1,87,1,0
Rabbit,Rabbit,81,Brown,Medium,27.6104201915951,0,0,33,0,0
Bird,Parakeet,136,White,Small,20.5202290956113,1,0,52,0,0
Rabbit,Rabbit,104,White,Small,29.7317154724033,1,0,41,0,0
Dog,Labrador,153,Black,Large,26.6018717176763,1,0,23,0,1
Rabbit,Rabbit,73,Black,Large,14.7167272172464,1,0,5,0,0
Dog,Golden Retriever,178,Brown,Medium,16.0708659033609,1,0,71,1,1
Rabbit,Rabbit,49,Orange,Small,6.52670534899862,0,0,57,0,0
Bird,Parakeet,36,Black,Large,14.3991409423471,1,0,6,0,0
Rabbit,Rabbit,126,Black,Large,27.1878083312915,1,1,49,1,0
Dog,Labrador,68,White,Large,2.47474928543881,0,0,22,0,0
Rabbit,Rabbit,78,Orange,Medium,26.043147286951,1,1,77,0,0
Rabbit,Rabbit,105,Brown,Small,10.8874862476357,1,0,76,1,0
Cat,Siamese,169,Black,Large,27.085870187793,0,0,4,0,0
Cat,Siamese,122,Orange,Small,28.2855172839031,0,0,72,0,0
Cat,Siamese,119,Orange,Large,20.4550817230553,0,1,64,1,0
Rabbit,Rabbit,114,Brown,Large,20.2682898111877,1,0,37,0,0
Dog,Labrador,10,Orange,Small,14.1298757935535,0,0,31,0,1
Rabbit,Rabbit,149,Orange,Small,25.2306665117675,0,1,37,1,0
Dog,Labrador,164,Orange,Small,28.8867699945652,0,0,45,0,0
Cat,Siamese,140,Black,Medium,23.4773722098345,1,0,8,0,1
Bird,Parakeet,91,Brown,Large,19.0361652789446,1,0,40,1,0
Bird,Parakeet,2,Orange,Medium,18.5969939788188,1,1,5,1,1
Rabbit,Rabbit,118,Orange,Small,25.6346271459262,0,0,28,0,0
Dog,Golden Retriever,13,Black,Large,16.6949092073677,1,0,81,0,1
Dog,Labrador,160,Brown,Medium,24.3119367012159,1,1,87,1,1
Rabbit,Rabbit,95,White,Large,15.7576724000531,1,0,9,1,0
Bird,Parakeet,144,Black,Medium,2.8108839742438,1,0,2,0,1
Dog,Golden Retriever,32,Brown,Small,12.1344632582205,1,0,63,0,0
Rabbit,Rabbit,32,Orange,Medium,13.8887877724735,1,0,51,0,1
Cat,Siamese,124,Brown,Large,5.1069001046119,0,0,31,1,0
Cat,Siamese,11,Brown,Large,3.97239354648717,1,1,7,1,0
Cat,Persian,10,Brown,Large,16.5284835400517,1,0,30,1,1
Bird,Parakeet,15,White,Large,3.46916546012638,1,0,58,1,1
Rabbit,Rabbit,17,Brown,Small,9.78540986881244,1,0,3,0,1
Cat,Persian,168,White,Medium,22.5933123029292,1,0,51,0,1
Cat,Persian,146,Orange,Small,28.9685332074714,0,0,56,1,0
Bird,Parakeet,153,White,Small,21.8182468360059,0,0,73,1,0
Cat,Siamese,59,Orange,Small,29.7861409051332,1,0,10,0,0
Cat,Siamese,78,Orange,Large,21.2518011671027,1,0,61,0,0
Bird,Parakeet,124,White,Large,9.5200396489755,0,0,50,1,0
Cat,Persian,114,Black,Large,20.4895236746555,0,0,47,0,0
Cat,Siamese,22,Gray,Medium,21.3625461907102,1,1,1,0,1
Rabbit,Rabbit,158,Brown,Large,11.7800825538774,1,0,57,0,0
Dog,Labrador,172,Gray,Medium,1.51370166767228,1,0,38,0,1
Bird,Parakeet,32,Brown,Large,21.3927937584891,1,1,62,0,0
Cat,Persian,179,Brown,Large,1.62930276299071,1,0,79,1,0
Bird,Parakeet,174,Orange,Small,19.3044542637421,1,0,89,0,0
Dog,Poodle,113,Brown,Small,5.7448781735341,1,0,70,0,0
Bird,Parakeet,120,Brown,Small,17.4025023046933,1,0,82,0,0
Cat,Siamese,149,White,Medium,15.6134777360374,1,0,65,1,1
Cat,Siamese,122,Gray,Medium,1.39189562687929,1,1,62,1,0
Rabbit,Rabbit,32,White,Large,11.523108692858,1,0,56,1,0
Dog,Poodle,119,Brown,Medium,18.4316438544928,1,0,67,1,1
Bird,Parakeet,39,Orange,Large,25.6095900050646,0,0,17,0,0
Dog,Labrador,12,White,Medium,26.770621301259,0,1,8,0,1
Rabbit,Rabbit,175,White,Medium,15.0316491309635,0,0,60,0,0
Dog,Poodle,18,Black,Medium,22.1242521316837,0,1,40,0,0
Rabbit,Rabbit,149,Brown,Small,10.1771827194703,0,0,81,1,0
Cat,Persian,141,Orange,Medium,10.9234057670011,1,0,89,0,1
Bird,Parakeet,149,White,Small,6.6394420562871,1,0,62,1,0
Bird,Parakeet,126,White,Small,17.2964951898039,1,0,41,0,0
Bird,Parakeet,136,Orange,Medium,10.1223603768936,0,0,12,0,0
Rabbit,Rabbit,46,Brown,Large,3.44675599671665,1,0,89,0,0
Cat,Persian,104,Black,Large,20.8651765132322,1,0,54,0,0
Rabbit,Rabbit,135,White,Large,21.5248430205565,1,0,89,0,0
Bird,Parakeet,151,Black,Medium,11.4397801445927,1,1,11,0,0
Bird,Parakeet,86,Gray,Large,3.22497858422466,0,1,60,0,0
Cat,Siamese,150,Brown,Small,13.3626338046994,0,0,68,0,0
Dog,Poodle,89,Gray,Large,13.8277282834563,1,0,78,0,0
Bird,Parakeet,22,Gray,Medium,20.3914556620389,0,0,46,0,1
Cat,Siamese,92,Gray,Large,10.1470753465018,1,0,38,0,0
Cat,Persian,29,Brown,Small,20.7953791136579,1,1,61,0,0
Cat,Persian,13,Brown,Medium,26.2731677109643,0,0,17,0,1
Dog,Poodle,2,Orange,Large,7.8870952285038,0,1,66,0,0
Cat,Siamese,29,Black,Medium,29.3886671274771,1,1,72,0,0
Cat,Siamese,27,Black,Medium,12.2046759769674,1,1,36,0,0
Rabbit,Rabbit,50,Orange,Medium,8.75050186926479,1,0,74,0,1
Dog,Labrador,95,Orange,Large,13.2238242927984,0,0,7,0,0
Rabbit,Rabbit,151,Gray,Medium,3.73752680121192,0,0,16,0,0
Dog,Labrador,88,Orange,Large,4.64547128885135,0,0,14,1,0
Bird,Parakeet,44,White,Small,13.0185873620816,0,0,80,0,0
